ID,inchikey,smiles
CARBOHYDRATES,,
CARDIOLIPIN,,
cpd00001,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O
cpd00001,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O
cpd00001,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O
cpd00002,ZKHQWZAMYRWXGA-KQYNXXCUSA-K,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00003,BAWFJGJZGIEFAR-NNYOXOHSSA-M,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
cpd00004,BOPGDPNILDQYTO-NNYOXOHSSA-L,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
cpd00005,ACFIXJIJDZMPPO-NNYOXOHSSA-J,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
cpd00006,XJLXINKUBYWONI-NNYOXOHSSA-K,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
cpd00007,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O
cpd00007,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O
cpd00007,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O
cpd00008,XTWYTFMLZFPYCI-KQYNXXCUSA-L,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00009,NBIIXXVUZAFLBC-UHFFFAOYSA-L,O=P([O-])([O-])O
cpd00009,NBIIXXVUZAFLBC-UHFFFAOYSA-L,O=P([O-])([O-])O
cpd00009,NBIIXXVUZAFLBC-UHFFFAOYSA-L,O=P([O-])([O-])O
cpd00010,RGJOEKWQDUBAIZ-IBOSZNHHSA-J,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
cpd00011,CURLTUGMZLYLDI-UHFFFAOYSA-N,O=C=O
cpd00011,CURLTUGMZLYLDI-UHFFFAOYSA-N,O=C=O
cpd00011,CURLTUGMZLYLDI-UHFFFAOYSA-N,O=C=O
cpd00012,XPPKVPWEQAFLFU-UHFFFAOYSA-K,O=P([O-])([O-])OP(=O)([O-])O
cpd00013,QGZKDVFQNNGYKY-UHFFFAOYSA-O,[NH4+]
cpd00013,QGZKDVFQNNGYKY-UHFFFAOYSA-O,[NH4+]
cpd00013,QGZKDVFQNNGYKY-UHFFFAOYSA-O,[NH4+]
cpd00014,XCCTYIAWTASOJW-XVFCMESISA-L,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00015,IMGVNJNCCGXBHD-UYBVJOGSSA-K,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C
cpd00016,NGVDGCNFYWLIFO-UHFFFAOYSA-L,Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O
cpd00017,MEFKEPWMEQBLKI-AIRLBKTGSA-O,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00018,UDMBCSSLTHHNCD-KQYNXXCUSA-L,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
cpd00019,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O
cpd00020,LCTONWCANYUPML-UHFFFAOYSA-M,CC(=O)C(=O)[O-]
cpd00022,ZSLZBFCDCINBPY-ZSJPKINUSA-J,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cpd00023,WHUUTDBJXJRKMK-VKHMYHEASA-M,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]
cpd00023,WHUUTDBJXJRKMK-VKHMYHEASA-M,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]
cpd00023,WHUUTDBJXJRKMK-VKHMYHEASA-M,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]
cpd00024,KPGXRSRHYNQIFN-UHFFFAOYSA-L,O=C([O-])CCC(=O)C(=O)[O-]
cpd00025,MHAJPDPJQMAIIY-UHFFFAOYSA-N,OO
cpd00026,HSCJRCZFDFQWRP-JZMIEXBBSA-L,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00027,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00027,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00027,WQZGKKKJIJFFOK-GASJEMHNSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00028,KABFMIBPWCXCRK-RGGAHWMASA-J,C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C
cpd00028,KABFMIBPWCXCRK-RGGAHWMASA-J,C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C
cpd00028,KABFMIBPWCXCRK-RGGAHWMASA-J,C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C
cpd00029,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-]
cpd00029,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-]
cpd00029,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-]
cpd00030,WAEMQWOKJMHJLA-UHFFFAOYSA-N,[Mn+2]
cpd00030,WAEMQWOKJMHJLA-UHFFFAOYSA-N,[Mn+2]
cpd00030,WAEMQWOKJMHJLA-UHFFFAOYSA-N,[Mn+2]
cpd00031,QGWNDRXFNXRZMB-UUOKFMHZSA-L,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00031,QGWNDRXFNXRZMB-UUOKFMHZSA-L,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00032,KHPXUQMNIQBQEV-UHFFFAOYSA-L,O=C([O-])CC(=O)C(=O)[O-]
cpd00033,DHMQDGOQFOQNFH-UHFFFAOYSA-N,[NH3+]CC(=O)[O-]
cpd00034,PTFCDOFLOPIGGS-UHFFFAOYSA-N,[Zn+2]
cpd00034,PTFCDOFLOPIGGS-UHFFFAOYSA-N,[Zn+2]
cpd00034,PTFCDOFLOPIGGS-UHFFFAOYSA-N,[Zn+2]
cpd00035,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H]([NH3+])C(=O)[O-]
cpd00036,KDYFGRWQOYBRFD-UHFFFAOYSA-L,O=C([O-])CCC(=O)[O-]
cpd00036,KDYFGRWQOYBRFD-UHFFFAOYSA-L,O=C([O-])CCC(=O)[O-]
cpd00037,LFTYTUAZOPRMMI-CFRASDGPSA-L,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
cpd00038,XKMLYUALXHKNFT-UUOKFMHZSA-K,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
