id,old_id,name,reaction_eq_annotation,reaction_eq,reaction_abbreviation,reaction_eq_name,GPR,lower_bound,upper_bound,Object,EC_number,Unique_EC,annotation,Subsystem,KEGG_pathway,KEGG_iZM516_pathway,notes,annotated_in_pathway
rxn00001,rxn00001_c0,diphosphate_phosphohydrolase_c0,"{""cpd00001_c0"":-1.0,""cpd00012_c0"":-1.0,""cpd00009_c0"":2.0,""cpd00067_c0"":1.0}",cpd00001_c0 + cpd00012_c0 --> 2.0 cpd00009_c0 + cpd00067_c0,h2o_c + ppi_c --> 2.0 pi_c + h_c,H2O_c0 + PPi_c0 --> 2.0 Phosphate_c0 + H_plus_c0,ZMO1507 or ZMO0403,0,1000,0,3.6.1.1,3.6.1.1,"{'AraCyc': 'INORGPYROPHOSPHAT-RXN', 'bigg.reaction': 'IPP1; PPA; PPA_1; PPAm', 'BrachyCyc': 'INORGPYROPHOSPHAT-RXN', 'kegg.reaction': 'R00004', 'biocyc': 'META:INORGPYROPHOSPHAT-RXN', 'seed.reaction': 'rxn00001','sbo':'SBO:0000176'}",271-Bsub; Phosphate_metabolism; HPr_catabolite_repression_system,,Anaplerotic Reactions,,non-pathway related
rxn00006,rxn00006_c0,hydrogen_peroxide_hydrogen_peroxide_oxidoreductase_c0,"{""cpd00025_c0"":-2.0,""cpd00001_c0"":2.0,""cpd00007_c0"":1.0}",2.0 cpd00025_c0 --> 2.0 cpd00001_c0 + cpd00007_c0,2.0 h2o2_c --> 2.0 h2o_c + o2_c,2.0 H2O2_c0 --> 2.0 H2O_c0 + O2_c0,ZMO0918,0,1000,0,1.11.1.21|1.11.1.6,1.11.1.6,"{'AraCyc': 'CATAL-RXN', 'bigg.reaction': 'CAT; CATp; CTA1; CTT1', 'BrachyCyc': 'CATAL-RXN', 'kegg.reaction': 'R00009', 'biocyc': 'META:CATAL-RXN; RXN-12121', 'seed.reaction': 'rxn00006','sbo':'SBO:0000176'}",CO2 fixation; Oxidative stress,Glyoxylate and dicarboxylate metabolism,Carbohydrate,,non-pathway related
rxn00011,rxn00011_c0,pyruvate_thiamin_diphosphate_acetaldehydetransferase_decarboxylating_c0,"{""cpd00020_c0"":-1.0,""cpd00056_c0"":-1.0,""cpd00067_c0"":-1.0,""cpd00011_c0"":1.0,""cpd03049_c0"":1.0}",cpd00020_c0 + cpd00056_c0 + cpd00067_c0 --> cpd00011_c0 + cpd03049_c0,pyr_c + thmpp_c + h_c --> co2_c + 2-Hydroxyethyl-ThPP_c,Pyruvate_c0 + TPP_c0 + H_plus_c0 --> CO2_c0 + 2_Hydroxyethyl_ThPP_c0,ZMO1360 or ZMO1140 and ZMO1139 or ZMO1140 and ZMO0687 or ZMO1606 and ZMO1605,0,1000,0,1.2.4.1|2.2.1.6|4.1.1.1,1.2.4.1,"{'AraCyc': 'RXN-12583', 'CornCyc': 'RXN-12583', 'EcoCyc': 'RXN-12583', 'kegg.reaction': 'R00014', 'biocyc': 'META:RXN-12583', 'seed.reaction': 'rxn00011', 'ec-code': '1.2.4.1','sbo':'SBO:0000176'}","Branched-chain amino acids; Lysine, threonine, methionine, and cysteine; Central carbohydrate metabolism; Fermentation; Organic acids; 271-Bsub; Programmed Cell Death and Toxin-antitoxin Systems",Pyruvate metabolism,Carbohydrate,,oxidative decarboxylation of pyruvate|acetyl CoA biosynthesis|valine metabolism|isoleucine metabolism|acetoin degradation|ethanol fermentation|valine metabolism|methionine metabolism
rxn00014,db_rxn00014,Ferrocytochrome-c:hydrogen-peroxide oxidoreductase,"{""cpd00025_c0"":-1.0,""cpd00067_c0"":-2.0,""cpd00110_c0"":-2.0,""cpd00001_c0"":2.0,""cpd00109_c0"":2.0}",cpd00025_c0 + 2.0 cpd00067_c0 + 2.0 cpd00110_c0 --> 2.0 cpd00001_c0 + 2.0 cpd00109_c0,h2o2_c + 2.0 h_c + 2.0 focytc_c --> 2.0 h2o_c + 2.0 ficytc_c,H2O2_c0 + 2.0 H_plus_c0 + 2.0 Cytochrome_c2_plus_c0 --> 2.0 H2O_c0 + 2.0 Cytochrome_c3_plus_c0,ZMO1136,0,1000,0,1.11.1.5,1.11.1.5,"{'bigg.reaction': 'CCP; CCP2m; CYCPO', 'JP_Creinhardtii_MSB': 'R_CCP2m', 'kegg.reaction': 'R00017', 'iIT341': 'CCP', 'iMM904': 'CCP2m', 'seed.reaction': 'rxn00014','sbo':'SBO:0000176'}",,,Cofactor/vitamin,,
rxn00029,rxn00029_c0,5_aminolevulinate_hydro_lyase_adding_5_aminolevulinate_and_cyclizing_porphobilinogen_forming_c0,"{""cpd00338_c0"":-2.0,""cpd00001_c0"":2.0,""cpd00067_c0"":1.0,""cpd00689_c0"":1.0}",2.0 cpd00338_c0 --> 2.0 cpd00001_c0 + cpd00067_c0 + cpd00689_c0,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,2.0 5_Aminolevulinate_c0 --> 2.0 H2O_c0 + H_plus_c0 + Porphobilinogen_c0,ZMO1879,0,1000,0,4.2.1.24,4.2.1.24,"{'AraCyc': 'PORPHOBILSYNTH-RXN', 'bigg.reaction': 'HEM2; PPBNGS', 'BrachyCyc': 'PORPHOBILSYNTH-RXN', 'kegg.reaction': 'R00036', 'biocyc': 'META:PORPHOBILSYNTH-RXN', 'seed.reaction': 'rxn00029', 'ec-code': '4.2.1.24', 'rhea': '24064','sbo':'SBO:0000176'}",Tetrapyrroles; Heme_temp_review; Zinc_regulated_enzymes,Porphyrin and chlorophyll metabolism,Cofactor/vitamin,,heme metabolism
rxn00048,rxn00048_c0,6_7_Dimethyl_8_1_D_ribityllumazine_6_7_dimethyl_8_1_D_ribityllumazine_2_3_butanediyltransferase_c0,"{""cpd00067_c0"":-1.0,""cpd02656_c0"":-2.0,""cpd00220_c0"":1.0,""cpd02882_c0"":1.0}",cpd00067_c0 + 2.0 cpd02656_c0 --> cpd00220_c0 + cpd02882_c0,h_c + 2.0 dmlz_c --> ribflv_c + 4r5au_c,H_plus_c0 + 2.0 6_7_Dimethyl_8__1_D_ribityllumazine_c0 --> Riboflavin_c0 + 4__1_D_Ribitylamino_5_aminouracil_c0,ZMO0475,0,1000,0,2.5.1.9,2.5.1.9,"{'AraCyc': 'RIBOFLAVIN-SYN-RXN', 'BrachyCyc': 'RIBOFLAVIN-SYN-RXN', 'ChlamyCyc': 'RIBOFLAVIN-SYN-RXN', 'kegg.reaction': 'R00066', 'biocyc': 'META:RIBOFLAVIN-SYN-RXN', 'seed.reaction': 'rxn00048', 'ec-code': '2.5.1.9', 'rhea': '20773','sbo':'SBO:0000176'}","Riboflavin, FMN, FAD",Riboflavin metabolism,Cofactor/vitamin,,flavin biosynthesis
rxn00055,rxn00055_c0,S_adenosyl_L_methionine_S_adenosyl_L_methionine_3_amino_3_carboxypropyltransferase_c0,"{""cpd00017_c0"":-3.0,""cpd00067_c0"":4.0,""cpd00147_c0"":3.0,""cpd03158_c0"":1.0}",3.0 cpd00017_c0 <=> 4.0 cpd00067_c0 + 3.0 cpd00147_c0 + cpd03158_c0,3.0 amet_c <=> 4.0 h_c + 3.0 5mta_c + Nicotianamine_c,3.0 S_Adenosyl_L_methionine_c0 <=> 4.0 H_plus_c0 + 3.0 5_Methylthioadenosine_c0 + Nicotianamine_c0,ZMO0821 or ZMO0748,-1000,1000,0,2.5.1.43,2.5.1.43,"{'AraCyc': '2.5.1.43-RXN', 'BrachyCyc': '2.5.1.43-RXN', 'CornCyc': '2.5.1.43-RXN', 'kegg.reaction': 'R00075', 'biocyc': 'META:2.5.1.43-RXN', 'seed.reaction': 'rxn00055', 'ec-code': '2.5.1.43', 'rhea': '16482','sbo':'SBO:0000176'}",,,Other secondary metabolites,,
rxn00060,rxn00060_c0,porphobilinogen_4_2_carboxyethyl_3_carboxymethylpyrrol_2_ylmethyltransferase_hydrolysing_c0,"{""cpd00001_c0"":-1.0,""cpd00689_c0"":-4.0,""cpd00013_c0"":4.0,""cpd00755_c0"":1.0}",cpd00001_c0 + 4.0 cpd00689_c0 --> 4.0 cpd00013_c0 + cpd00755_c0,h2o_c + 4.0 ppbng_c --> 4.0 nh4_c + hmbil_c,H2O_c0 + 4.0 Porphobilinogen_c0 --> 4.0 NH3_c0 + Hydroxymethylbilane_c0,ZMO1903,0,1000,0,2.5.1.61|4.3.1.8,2.5.1.61,"{'AraCyc': 'OHMETHYLBILANESYN-RXN', 'bigg.reaction': 'HEM3; HMBS', 'BrachyCyc': 'OHMETHYLBILANESYN-RXN', 'kegg.reaction': 'R00084', 'biocyc': 'META:OHMETHYLBILANESYN-RXN', 'seed.reaction': 'rxn00060', 'ec-code': '2.5.1.61', 'rhea': '13185','sbo':'SBO:0000176'}",Tetrapyrroles; Heme_temp_review,Porphyrin and chlorophyll metabolism,Cofactor/vitamin,,heme metabolism
rxn00063,rxn00063_c0,ATP diphosphohydrolase (diphosphate-forming),"{""cpd00001_c0"":-1.0,""cpd00002_c0"":-1.0,""cpd00012_c0"":1.0,""cpd00067_c0"":2.0,""cpd00018_c0"":1.0}",cpd00001_c0 + cpd00002_c0 <=> cpd00012_c0 + 2.0 cpd00067_c0 + cpd00018_c0,h2o_c + atp_c --> ppi_c + amp_c + 2.0 h_c,H2O_c0 + ATP_c0 => PPi_c0 + AMP_c0 + 2.0 H+_c0,ZMO1095,0,1000,0,3.6.1.8,3.6.1.8,"{'AraCyc': '3.6.1.19-RXN', 'bigg.reaction': 'NTPP6', 'BrachyCyc': '3.6.1.19-RXN; ATP-PYROPHOSPHATASE-RXN', 'kegg.reaction': 'R00087', 'biocyc': 'META:3.6.1.19-RXN; ATP-PYROPHOSPHATASE-RXN', 'seed.reaction': 'rxn00063','sbo':'SBO:0000176'}",,Purine metabolism,Nucleotide,,
rxn00077,rxn00077_c0,ATP_NAD_plus__2_phosphotransferase_c0,"{""cpd00002_c0"":-1.0,""cpd00003_c0"":-1.0,""cpd00006_c0"":1.0,""cpd00008_c0"":1.0,""cpd00067_c0"":1.0}",cpd00002_c0 + cpd00003_c0 <=> cpd00006_c0 + cpd00008_c0 + cpd00067_c0,atp_c + nad_c --> nadp_c + adp_c + h_c,ATP_c0 + NAD_c0 <=> NADP_c0 + ADP_c0 + H_plus_c0,ZMO1329,0,1000,0,2.7.1.23,2.7.1.23,"{'AraCyc': 'NAD-KIN-RXN', 'bigg.reaction': 'NADK; NADKm; POS5_1; POS5_2; UTR1_1; UTR1_2; YEL041W_1; YEL041W_2', 'BrachyCyc': 'NAD-KIN-RXN', 'kegg.reaction': 'R00104', 'biocyc': 'META:NAD-KIN-RXN', 'seed.reaction': 'rxn00077', 'ec-code': '2.7.1.23', 'rhea': '18630','sbo':'SBO:0000176'}",Nucleotidyl-phosphate metabolic cluster; NAD and NADP; 271-Bsub; rRNA_methylation_in_clusters; Supplement for the paper 1; Supplement for the paper 2,Nicotinate and nicotinamide metabolism,Cofactor/vitamin,,NAD metabolism
